Label,brand,num_products,avg_active_count,total_active
Treatment,SUNDAY RILEY,3,6.333333333333333,19
Treatment,CLARINS,5,3.6,18
Treatment,PHILOSOPHY,4,4.5,18
Treatment,AMOREPACIFIC,2,7.0,14
Treatment,MOON JUICE,2,6.5,13
Treatment,TATA HARPER,2,6.5,13
Treatment,GLAMGLOW,2,6.0,12
Treatment,COVER FX,2,5.5,11
Treatment,LANCÔME,4,2.75,11
Treatment,BELIF,2,5.0,10
Treatment,BOSCIA,2,5.0,10
Treatment,BEAUTYBIO,1,9.0,9
Treatment,BIOEFFECT,3,3.0,9
Treatment,NEOGEN DERMALOGY,1,9.0,9
Treatment,YOUTH TO THE PEOPLE,1,9.0,9
Treatment,BECCA,3,2.6666666666666665,8
Treatment,COOLA,1,8.0,8
Treatment,BIOSSANCE,1,7.0,7
Treatment,MILK MAKEUP,1,7.0,7
Treatment,OMOROVICZA,1,7.0,7
Treatment,REN CLEAN SKINCARE,5,1.4,7
Treatment,SK-II,1,7.0,7
Treatment,BAREMINERALS,1,6.0,6
Treatment,HERBIVORE,2,3.0,6
Treatment,J.ONE,1,6.0,6
Treatment,TATCHA,1,5.0,5
Treatment,VOLITION BEAUTY,1,5.0,5
Treatment,ERNO LASZLO,1,4.0,4
Treatment,FARSÁLI,1,4.0,4
Treatment,HUM NUTRITION,2,2.0,4
Treatment,PEACE OUT,2,1.5,3
Treatment,PRIVATE DOCTOR,1,3.0,3
Treatment,TARTE,1,2.0,2
Treatment,JOSIE MARAN,1,1.0,1
Treatment,DIOR,9,0.0,0
Treatment,FOREO,1,0.0,0
Treatment,GUERLAIN,1,0.0,0
Treatment,LIGHTSTIM,1,0.0,0
Treatment,SEPHORA COLLECTION,1,0.0,0
Treatment,SKIN INC SUPPLEMENT BAR,1,0.0,0
